id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
MATACCO150X200_11198,"مرتبة كوين","مرتبة كوين",https://placeholdit.imgix.net/~text?txtsize=33&name=%D9%85%D8%B1%D8%AA%D8%A8%D8%A9%20%D9%83%D9%88%D9%8A%D9%86&w=530&h=530,https://staging.alhuzaifa.slz.io/shop/mattress-accolade-queen/,"LIVING, TV UNITS","Al Huzaifa Furniture UAE",715AED,in stock,MATACCO150X200_11198,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=11198,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,715AED,new,staging,,
MATACCO150X200_11020,"Mattress Accolade Queen","Mattress Accolade Queen",https://placeholdit.imgix.net/~text?txtsize=33&name=Mattress%20Accolade%20Queen&w=530&h=530,https://staging.alhuzaifa.slz.io/shop/mattress-accolade-queen/,"LIVING, TV UNITS","Al Huzaifa Furniture UAE",715AED,in stock,MATACCO150X200_11020,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=11020,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,715AED,new,published,,
SSADS688-4SEATER-A_10996,"ISOTTA","color: Black",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/09/ISOTTA.jpg,https://staging.alhuzaifa.slz.io/shop/isotta/?attribute_pa_color=black,"CONTEMPORARY, LIVING, SOFA SETS &amp; SOFAS","Al Huzaifa Furniture UAE",6030AED,in stock,wc_post_id_10992,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10992&variation_id=10996&attribute_pa_color=black&attribute_pa_composition=,"https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/09/ISOTTA2.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,4520AED,new,published,default,"color:Black:Black"
SSADS688-1SEATER-A_10995,"ISOTTA","color: Black, composition: 1 SEATER",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/09/ISOTTA.jpg,https://staging.alhuzaifa.slz.io/shop/isotta/?attribute_pa_color=black&attribute_pa_composition=1-seater,"CONTEMPORARY, LIVING, SOFA SETS &amp; SOFAS","Al Huzaifa Furniture UAE",3930AED,in stock,wc_post_id_10992,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10992&variation_id=10995&attribute_pa_color=black&attribute_pa_composition=1-seater,"https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/09/ISOTTA2.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2945AED,new,published,,"color:Black:Black,composition:4 Seater/1 SEATER:1 SEATER"
ACQYSPLD-712_10715,"Floor lamp - 712","Material: Brass + Feather 
 
Color： Brass",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/18.jpg,https://staging.alhuzaifa.slz.io/shop/floor-lamp-712/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",9460AED,in stock,ACQYSPLD-712_10715,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10715,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,7095AED,new,published,,
ACQYSPLD-699_10755,"Table lamp - 699","Material: Metal with powder coating + Matt glass ball 
 
Color： Gold",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/19.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-699/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",3070AED,in stock,ACQYSPLD-699_10755,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10755,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2300AED,new,published,,
ACQYSPLD-618C-S_10754,"Table lamp - 618C-S","Material: SS with Electroplating + Matt glass 
 
Color: Gold",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/20.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-618c-s/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",2350AED,in stock,ACQYSPLD-618C-S_10754,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10754,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1760AED,new,published,,
ACQYSPLD-618C-L_10753,"Table lamp - 618C-L","Material: SS with Electroplating + Matt glass 
 
Color: Gold",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/21.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-618c-l/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",2825AED,in stock,ACQYSPLD-618C-L_10753,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10753,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2115AED,new,published,,
ACQYSP-917_10752,"Table lamp - 917","Material: Metal with powder coating + marble 
 
Color: Matt Black + Green + White",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/23.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-917/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",1780AED,in stock,ACQYSP-917_10752,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10752,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1335AED,new,published,,
ACQYSP-824_10711,"Table lamp - 824","Material: Brushed SS with Electroplating + Natrual Marble 
 
Color: Brushed gold + white",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/32.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-824/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",1440AED,in stock,ACQYSP-824_10711,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10711,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1080AED,new,published,,
ACQYSP-831_10712,"Table lamp - 831","Material: Brushed SS with Electroplating + Natrual Marble 
 
Color: Brushed gold + white",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/31.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-831/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",1440AED,in stock,ACQYSP-831_10712,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10712,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1080AED,new,published,,
ACQYSP-847_10757,"Table lamp - 847","Material: Metal with Electroplating + Natural marble 
 
Color: Gold + White",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/30.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-847-2/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",1680AED,in stock,ACQYSP-847_10757,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10757,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1260AED,new,published,,
ACQYSP-871_10756,"Table lamp - 871","Material: Metal with powder coating + Water stone + Man-made feather 
 
Color: Gold + Beige",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/29.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-871/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",1440AED,in stock,ACQYSP-871_10756,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10756,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1080AED,new,published,,
ACQYSP-878A_10713,"Table lamp - 847","Material: Metal with Electroplating + Natrual white marble 
 
Color: Gold + White",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/28.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-847/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",1115AED,in stock,ACQYSP-878A_10713,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10713,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,835AED,new,published,,
ACQYSP-895_10714,"Table lamp - 895","Material: Natural stone 
 
Color: Light brown",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/27.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-895/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",1835AED,in stock,ACQYSP-895_10714,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10714,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1375AED,new,published,,
ACQYSP-913-G1_10748,"Table lamp - 913-G1","Material: Metal with electroplating + Marble 
 
Color: Gold + White",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/24.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-913-g1/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",705AED,in stock,ACQYSP-913-G1_10748,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10748,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,525AED,new,published,,
ACQYSP-913-G2_10749,"Table lamp - 903-G2","Material: Metal with electroplating + Marble 
 
Color: Gold + black",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/08/25.jpg,https://staging.alhuzaifa.slz.io/shop/table-lamp-903-g2/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",705AED,in stock,ACQYSP-913-G2_10749,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10749,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,525AED,new,published,,
ACMD21561-3-460_10884,"MD21561-3-460 PENDANT LAMP","size: SMALL",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/09/12.jpg,https://staging.alhuzaifa.slz.io/shop/md21561-3-460-pendant-lamp/?attribute_pa_size=small,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",1475AED,in stock,ACMD21561-3-460_10862,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10862&variation_id=10884&attribute_pa_size=small,"https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/09/11.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1105AED,new,published,,"size:LARGE/SMALL:SMALL"
ACMD21561-5-480_10883,"MD21561-3-460 PENDANT LAMP","size: LARGE",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/09/11.jpg,https://staging.alhuzaifa.slz.io/shop/md21561-3-460-pendant-lamp/?attribute_pa_size=large,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",1660AED,in stock,ACMD21561-3-460_10862,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10862&variation_id=10883&attribute_pa_size=large,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1245AED,new,published,default,"size:LARGE/SMALL:LARGE"
ACMT80510-1-180B_10880,"MT80510-1-180B TABLE LAMP","Glass + Iron",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/09/1.jpg,https://staging.alhuzaifa.slz.io/shop/mt80510-1-180b-table-lamp/,"ACCESSORIES, LIGHTINGS","Al Huzaifa Furniture UAE",1180AED,in stock,ACMT80510-1-180B_10880,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=10880,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,885AED,new,published,,
ACMT80510-1-180B_11202,"MT80510-1-180B مصباح","زجاج + حديد",https://staging.alhuzaifa.slz.io/wp-content/uploads/2020/09/1.jpg,https://staging.alhuzaifa.slz.io/shop/mt80510-1-180b-table-lamp/,"LIGHTINGS, ACCESSORIES","Al Huzaifa Furniture UAE",1180AED,in stock,ACMT80510-1-180B_11202,https://staging.alhuzaifa.slz.io/cart/?add-to-cart=11202,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,885AED,new,staging,,
